Date,Code région,Nom de la région,Conso_moy_quot_MW
01/01/19,44,Grand Est,6184.9787234
01/02/19,44,Grand Est,6839.875
01/03/19,44,Grand Est,6587.77083333
01/04/19,44,Grand Est,6446.0625
01/05/19,44,Grand Est,6965.22916667
01/06/19,44,Grand Est,6834.27083333
01/07/19,44,Grand Est,5858.79166667
01/08/19,44,Grand Est,5829.85416667
01/09/19,44,Grand Est,5886
01/10/19,44,Grand Est,5509.04166667
01/11/19,44,Grand Est,5761.22916667
01/12/19,44,Grand Est,5377.25
01/13/19,44,Grand Est,5641.04166667
01/14/19,44,Grand Est,6418.75
01/15/19,44,Grand Est,6279.89583333
01/16/19,44,Grand Est,6046.85416667
01/17/19,44,Grand Est,5658.20833333
01/18/19,44,Grand Est,6090.0625
01/19/19,44,Grand Est,6079.14583333
01/20/19,44,Grand Est,6323.75
01/21/19,44,Grand Est,5765.52083333
01/22/19,44,Grand Est,5924.14583333
01/23/19,44,Grand Est,5655.79166667
01/24/19,44,Grand Est,5136.58333333
01/25/19,44,Grand Est,4256.10416667
01/26/19,44,Grand Est,4745.10416667
01/27/19,44,Grand Est,4361.8125
01/28/19,44,Grand Est,4758.89583333
01/29/19,44,Grand Est,4276.39583333
01/30/19,44,Grand Est,4337.45833333
01/31/19,44,Grand Est,5649
02/01/19,44,Grand Est,5384.875
02/02/19,44,Grand Est,5097.91666667
02/03/19,44,Grand Est,5317.29166667
02/04/19,44,Grand Est,5290.89583333
02/05/19,44,Grand Est,5104.64583333
02/06/19,44,Grand Est,6015.04166667
02/07/19,44,Grand Est,6109.85416667
02/08/19,44,Grand Est,4813.3125
02/09/19,44,Grand Est,4576.16666667
02/10/19,44,Grand Est,4921.1875
02/11/19,44,Grand Est,5112.83333333
02/12/19,44,Grand Est,4693.5625
02/13/19,44,Grand Est,4548.91666667
02/14/19,44,Grand Est,4786.75
02/15/19,44,Grand Est,5028.6875
02/16/19,44,Grand Est,4553.35416667
02/17/19,44,Grand Est,5029.8125
02/18/19,44,Grand Est,4728.45833333
02/19/19,44,Grand Est,5472.5625
02/20/19,44,Grand Est,4744.375
02/21/19,44,Grand Est,4932.4375
02/22/19,44,Grand Est,6499.29166667
02/23/19,44,Grand Est,7081
02/24/19,44,Grand Est,5837.10416667
02/25/19,44,Grand Est,5752.625
02/26/19,44,Grand Est,5373.1875
02/27/19,44,Grand Est,6181.79166667
02/28/19,44,Grand Est,4537.125
03/01/19,44,Grand Est,4387.125
03/02/19,44,Grand Est,4874
03/03/19,44,Grand Est,5134.70833333
03/04/19,44,Grand Est,4557
03/05/19,44,Grand Est,4227.85416667
03/06/19,44,Grand Est,4671.08333333
03/07/19,44,Grand Est,4212.85416667
03/08/19,44,Grand Est,4333.66666667
03/09/19,44,Grand Est,4913.125
03/10/19,44,Grand Est,4871.70833333
03/11/19,44,Grand Est,5413.25
03/12/19,44,Grand Est,4916.625
03/13/19,44,Grand Est,4797.91666667
03/14/19,44,Grand Est,4822.375
03/15/19,44,Grand Est,4469.5625
03/16/19,44,Grand Est,4053.6875
03/17/19,44,Grand Est,3775.64583333
03/18/19,44,Grand Est,4020.75
03/19/19,44,Grand Est,4615.79166667
03/20/19,44,Grand Est,4289.4375
03/21/19,44,Grand Est,4433.83333333
03/22/19,44,Grand Est,4481.8125
03/23/19,44,Grand Est,4049.64583333
03/24/19,44,Grand Est,5298.95833333
03/25/19,44,Grand Est,6104.52083333
03/26/19,44,Grand Est,5655.0625
03/27/19,44,Grand Est,5243.10416667
03/28/19,44,Grand Est,6265.83333333
03/29/19,44,Grand Est,5362.75
03/30/19,44,Grand Est,5834.39583333
03/31/19,44,Grand Est,6413.33333333
04/01/19,44,Grand Est,6718.91666667
04/02/19,44,Grand Est,6448.41666667
04/03/19,44,Grand Est,5465.72916667
04/04/19,44,Grand Est,6055.41666667
04/05/19,44,Grand Est,5837.0625
04/06/19,44,Grand Est,5446.625
04/07/19,44,Grand Est,5830.33333333
04/08/19,44,Grand Est,5424.625
04/09/19,44,Grand Est,5870.83333333
04/10/19,44,Grand Est,5400.41666667
04/11/19,44,Grand Est,4794.47916667
04/12/19,44,Grand Est,5810.9375
04/13/19,44,Grand Est,5625.14583333
04/14/19,44,Grand Est,5614.22916667
04/15/19,44,Grand Est,6248.45833333
04/16/19,44,Grand Est,6611.04166667
04/17/19,44,Grand Est,6031.08333333
04/18/19,44,Grand Est,5618.02083333
04/19/19,44,Grand Est,6504.79166667
04/20/19,44,Grand Est,6544.41666667
04/21/19,44,Grand Est,6533.5
04/22/19,44,Grand Est,5684.08333333
04/23/19,44,Grand Est,5003.29166667
04/24/19,44,Grand Est,5277.66666667
04/25/19,44,Grand Est,5000.10416667
04/26/19,44,Grand Est,4863.35416667
04/27/19,44,Grand Est,4689.0625
04/28/19,44,Grand Est,4937.85416667
04/29/19,44,Grand Est,5075.91666667
04/30/19,44,Grand Est,5474.20833333
05/01/19,44,Grand Est,4664.8125
05/02/19,44,Grand Est,4495.91666667
05/03/19,44,Grand Est,4441.0625
05/04/19,44,Grand Est,4866.02083333
05/05/19,44,Grand Est,4685.89583333
05/06/19,44,Grand Est,5097.875
05/07/19,44,Grand Est,5197.8125
05/08/19,44,Grand Est,5489.3125
05/09/19,44,Grand Est,5369.97916667
05/10/19,44,Grand Est,4876.64583333
05/11/19,44,Grand Est,4576.0625
05/12/19,44,Grand Est,4469.5
05/13/19,44,Grand Est,4756.0625
05/14/19,44,Grand Est,4353.625
05/15/19,44,Grand Est,4195.41666667
05/16/19,44,Grand Est,5038.72916667
05/17/19,44,Grand Est,4666.47916667
05/18/19,44,Grand Est,4861.5
05/19/19,44,Grand Est,4303.45833333
05/20/19,44,Grand Est,4349.45833333
05/21/19,44,Grand Est,4331.41666667
05/22/19,44,Grand Est,4802.52083333
05/23/19,44,Grand Est,4696.83333333
05/24/19,44,Grand Est,4486.14583333
05/25/19,44,Grand Est,4096.14583333
05/26/19,44,Grand Est,4516.45833333
05/27/19,44,Grand Est,4620.91666667
05/28/19,44,Grand Est,4246.83333333
05/29/19,44,Grand Est,4079
05/30/19,44,Grand Est,4387.08333333
05/31/19,44,Grand Est,4161.58333333
06/01/19,44,Grand Est,4804.66666667
06/02/19,44,Grand Est,4651.1875
06/03/19,44,Grand Est,4946.52083333
06/04/19,44,Grand Est,5155.6875
06/05/19,44,Grand Est,5067.83333333
06/06/19,44,Grand Est,4853.75
06/07/19,44,Grand Est,4828.8125
06/08/19,44,Grand Est,4420.6875
06/09/19,44,Grand Est,5062.25
06/10/19,44,Grand Est,5131.20833333
06/11/19,44,Grand Est,4948.89583333
06/12/19,44,Grand Est,5648.25
06/13/19,44,Grand Est,6270.875
06/14/19,44,Grand Est,5654.6875
06/15/19,44,Grand Est,6142.79166667
06/16/19,44,Grand Est,5779.33333333
06/17/19,44,Grand Est,5424.66666667
06/18/19,44,Grand Est,5253.5
06/19/19,44,Grand Est,5744.60416667
06/20/19,44,Grand Est,5239.04166667
06/21/19,44,Grand Est,4704.33333333
06/22/19,44,Grand Est,4483.77083333
06/23/19,44,Grand Est,3856.14583333
06/24/19,44,Grand Est,3977.89583333
06/25/19,44,Grand Est,4816.58333333
06/26/19,44,Grand Est,4511.33333333
06/27/19,44,Grand Est,4547.97916667
06/28/19,44,Grand Est,4343.4375
06/29/19,44,Grand Est,4421.85416667
06/30/19,44,Grand Est,4416.72916667
07/01/19,44,Grand Est,4496.66666667
07/02/19,44,Grand Est,5722.8125
07/03/19,44,Grand Est,5146.45833333
07/04/19,44,Grand Est,4480.72916667
07/05/19,44,Grand Est,4660.77083333
07/06/19,44,Grand Est,5816.52083333
07/07/19,44,Grand Est,5516.45833333
07/08/19,44,Grand Est,4872.25
07/09/19,44,Grand Est,4694.85416667
07/10/19,44,Grand Est,4567.08333333
07/11/19,44,Grand Est,4730.0625
07/12/19,44,Grand Est,5446.25
07/13/19,44,Grand Est,5466.375
07/14/19,44,Grand Est,5743.08333333
07/15/19,44,Grand Est,5438.47916667
07/16/19,44,Grand Est,5710.10416667
07/17/19,44,Grand Est,5213.72916667
07/18/19,44,Grand Est,5531.95833333
07/19/19,44,Grand Est,5307.66666667
07/20/19,44,Grand Est,5053.6875
07/21/19,44,Grand Est,5277.5
07/22/19,44,Grand Est,5218.25
07/23/19,44,Grand Est,6145.9375
07/24/19,44,Grand Est,4826.64583333
07/25/19,44,Grand Est,4658.77083333
07/26/19,44,Grand Est,4034.66666667
07/27/19,44,Grand Est,4168.75
07/28/19,44,Grand Est,4653.875
07/29/19,44,Grand Est,4391.4375
07/30/19,44,Grand Est,4066.20833333
07/31/19,44,Grand Est,4939.875
08/01/19,44,Grand Est,5702.39583333
08/02/19,44,Grand Est,5526.25
08/03/19,44,Grand Est,5722.08333333
08/04/19,44,Grand Est,5198.39583333
08/05/19,44,Grand Est,5758.89583333
08/06/19,44,Grand Est,5468.89583333
08/07/19,44,Grand Est,5569.41666667
08/08/19,44,Grand Est,5752.85416667
08/09/19,44,Grand Est,7018.35416667
08/10/19,44,Grand Est,6740.04166667
08/11/19,44,Grand Est,6738.35416667
08/12/19,44,Grand Est,5807.3125
08/13/19,44,Grand Est,6240.3125
08/14/19,44,Grand Est,6642.20833333
08/15/19,44,Grand Est,6416.6875
08/16/19,44,Grand Est,7166.02083333
08/17/19,44,Grand Est,5851.54166667
08/18/19,44,Grand Est,4899.72916667
08/19/19,44,Grand Est,5172.77083333
08/20/19,44,Grand Est,4752.4375
08/21/19,44,Grand Est,5065.4375
08/22/19,44,Grand Est,4641.5
08/23/19,44,Grand Est,4925.625
08/24/19,44,Grand Est,4580.79166667
08/25/19,44,Grand Est,4866.47916667
08/26/19,44,Grand Est,6487.60416667
08/27/19,44,Grand Est,6195.8125
08/28/19,44,Grand Est,6164.95833333
08/29/19,44,Grand Est,5599.39583333
08/30/19,44,Grand Est,5311.66666667
08/31/19,44,Grand Est,5055.375
09/01/19,44,Grand Est,4607.5
09/02/19,44,Grand Est,4719.08333333
09/03/19,44,Grand Est,5031.35416667
09/04/19,44,Grand Est,5300.625
09/05/19,44,Grand Est,5501.20833333
09/06/19,44,Grand Est,6057.91666667
09/07/19,44,Grand Est,5643.3125
09/08/19,44,Grand Est,5409.125
09/09/19,44,Grand Est,5526.25
09/10/19,44,Grand Est,5333.97916667
09/11/19,44,Grand Est,5066.1875
09/12/19,44,Grand Est,5577.97916667
09/13/19,44,Grand Est,5298.125
09/14/19,44,Grand Est,4550.91666667
09/15/19,44,Grand Est,4976.39583333
09/16/19,44,Grand Est,4725.22916667
09/17/19,44,Grand Est,4384.72916667
09/18/19,44,Grand Est,4285.75
09/19/19,44,Grand Est,4273.625
09/20/19,44,Grand Est,4649.5
09/21/19,44,Grand Est,4307.95833333
09/22/19,44,Grand Est,5167.75
09/23/19,44,Grand Est,4194.9375
09/24/19,44,Grand Est,4271.3125
09/25/19,44,Grand Est,4485.33333333
09/26/19,44,Grand Est,4446.08333333
09/27/19,44,Grand Est,4343.47916667
09/28/19,44,Grand Est,5010
09/29/19,44,Grand Est,4385.1875
09/30/19,44,Grand Est,4561.83333333
10/01/19,44,Grand Est,4800.4375
10/02/19,44,Grand Est,4888.375
10/03/19,44,Grand Est,4522.33333333
10/04/19,44,Grand Est,4933.14583333
10/05/19,44,Grand Est,4456.54166667
10/06/19,44,Grand Est,4822.45833333
10/07/19,44,Grand Est,4963.72916667
10/08/19,44,Grand Est,5137.125
10/09/19,44,Grand Est,5280.22916667
10/10/19,44,Grand Est,5639.04166667
10/11/19,44,Grand Est,5027.66666667
10/12/19,44,Grand Est,5623.91666667
10/13/19,44,Grand Est,6253.79166667
10/14/19,44,Grand Est,5322.16666667
10/15/19,44,Grand Est,6297.33333333
10/16/19,44,Grand Est,6404.5625
10/17/19,44,Grand Est,6112.66666667
10/18/19,44,Grand Est,6035.64583333
10/19/19,44,Grand Est,5789.79166667
10/20/19,44,Grand Est,5273.08333333
10/21/19,44,Grand Est,5658.47916667
10/22/19,44,Grand Est,5393.10416667
10/23/19,44,Grand Est,5954.0625
10/24/19,44,Grand Est,6687.52083333
10/25/19,44,Grand Est,6613.10416667
10/26/19,44,Grand Est,6703.97916667
10/27/19,44,Grand Est,6689.97916667
10/28/19,44,Grand Est,6915.9375
10/29/19,44,Grand Est,5961.5
10/30/19,44,Grand Est,5417.89583333
10/31/19,44,Grand Est,5808.66666667
11/01/19,44,Grand Est,4254.375
11/02/19,44,Grand Est,4526
11/03/19,44,Grand Est,4537.89583333
11/04/19,44,Grand Est,4446.16666667
11/05/19,44,Grand Est,4798.39583333
11/06/19,44,Grand Est,4712.3125
11/07/19,44,Grand Est,4920
11/08/19,44,Grand Est,5603.4375
11/09/19,44,Grand Est,5317.20833333
11/10/19,44,Grand Est,4435.47916667
11/11/19,44,Grand Est,4553.83333333
11/12/19,44,Grand Est,4710.29166667
11/13/19,44,Grand Est,4489.33333333
11/14/19,44,Grand Est,4288.33333333
11/15/19,44,Grand Est,4108.83333333
11/16/19,44,Grand Est,4808.02083333
11/17/19,44,Grand Est,4285.10416667
11/18/19,44,Grand Est,3755.33333333
11/19/19,44,Grand Est,3992.14583333
11/20/19,44,Grand Est,4392.1875
11/21/19,44,Grand Est,4296.58333333
11/22/19,44,Grand Est,4233.08333333
11/23/19,44,Grand Est,4156.89583333
11/24/19,44,Grand Est,4353.10416667
11/25/19,44,Grand Est,4373.64583333
11/26/19,44,Grand Est,4370.29166667
11/27/19,44,Grand Est,4051.22916667
11/28/19,44,Grand Est,4521.72916667
11/29/19,44,Grand Est,4732.625
11/30/19,44,Grand Est,4981.9375
12/01/19,44,Grand Est,5170.89583333
12/02/19,44,Grand Est,4953.0625
12/03/19,44,Grand Est,5042.9375
12/04/19,44,Grand Est,4827.85416667
12/05/19,44,Grand Est,4887.10416667
12/06/19,44,Grand Est,4826.58333333
12/07/19,44,Grand Est,5357.77083333
12/08/19,44,Grand Est,5209.4375
12/09/19,44,Grand Est,4564.41666667
12/10/19,44,Grand Est,4746.6875
12/11/19,44,Grand Est,5285.91666667
12/12/19,44,Grand Est,4945.9375
12/13/19,44,Grand Est,5499.29166667
12/14/19,44,Grand Est,4744.4375
12/15/19,44,Grand Est,5157.29166667
12/16/19,44,Grand Est,4837.20833333
12/17/19,44,Grand Est,4853.22916667
12/18/19,44,Grand Est,5296.0625
12/19/19,44,Grand Est,5851.75
12/20/19,44,Grand Est,5604.3125
12/21/19,44,Grand Est,5722.375
12/22/19,44,Grand Est,5962.77083333
12/23/19,44,Grand Est,6540.89583333
